# Constructed from biom file
#OTU ID	SRR29282889_trimmed	SRR29282890_trimmed	SRR29282891_trimmed	SRR29282892_trimmed	SRR29282893_trimmed	SRR29282894_trimmed	SRR29282895_trimmed	SRR29282896_trimmed	SRR29282897_trimmed	SRR29282898_trimmed	SRR29282899_trimmed	SRR29282900_trimmed	SRR29282901_trimmed	SRR29282902_trimmed
62b7cf93c9ad43ef80c982d4ae618dd4	0.0	0.0	25.0	70.0	472.0	121.0	391.0	776.0	1021.0	77.0	300.0	489.0	3195.0	2648.0
88eb894ae2ee080268b5d6c22d655054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
de77ce8ba5f4040f9bc66293f0684cd4	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cd4d8b3df3bb1bc7bd0adb24850fb781	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5577e9f1038f58477ec2eb26d2ad181e	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	263.0
c65b204634058efbf4aa0e6c30cbf50a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
d3b33c07a714d938e1ff1d1f47e08379	141.0	0.0	89.0	13.0	0.0	0.0	0.0	29.0	0.0	148.0	0.0	0.0	0.0	0.0
69a668bb63bb159532f4cc94c2cf5964	34.0	0.0	0.0	10.0	310.0	37.0	0.0	34.0	0.0	0.0	62.0	76.0	425.0	81.0
d8c53d91e099fb710920519673df7441	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8f6ea0626d676dfcdea271e44d59da86	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2856aa95917a8ebcb7a4524dee508646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0
ced12e3ea91b595665af7a419b8fcea4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0
7e8a61e7f4c7cc7a361b92981e730e81	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3fafebd307e0967330087526cac107f1	229.0	0.0	0.0	93.0	72.0	139.0	149.0	0.0	0.0	0.0	1054.0	431.0	2606.0	788.0
fffd25270bed6a64e16aeb5ab327c27d	98.0	0.0	129.0	48.0	988.0	503.0	50.0	349.0	0.0	0.0	604.0	183.0	1207.0	597.0
fdb789852a4e681aea64fc5997a6b7e3	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a892bd3b3a142e774b42ec221719e93a	0.0	0.0	0.0	0.0	91.0	31.0	701.0	46.0	1261.0	160.0	0.0	0.0	844.0	477.0
045fcd2234f2e2e84834c5eb4d6709d8	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7adb7d0d315a0fe90e039576d82b96c7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0
52c644a68ecff8826fe88b31c28b407a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	61.0
dd70503b74fbf89753fc761ab0760529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	0.0
d83b91b11b9491bfad52d2106a268f53	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	132.0	243.0	90.0
4108fd97e1de11af1e224f4e58a784bc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0
d7061fd1d71a2673db861b7f1f1a7a80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0
1173b679f04af1149896a34991b58d0a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
e8604fe29b6d25e79ca599810376753a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
8438282c279cf107293db26d3004f5a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	350.0	0.0	0.0	0.0	0.0	0.0
920a95619c41057147dc5c87baa03d00	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d4a401132d7577744914f4ebda8cbc07	0.0	0.0	39.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
af8fefb2333ff9896dd79eeda461de07	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6bdba2e00ab254293e94924589f1af05	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
622abfbd9dbb4a060bd695d27f869a9a	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27a1086f4afd224cc684eaad990ff589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
9e18b32e926ac02b9dedcc5f2943a6a4	0.0	0.0	3041.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1f2adb648e051fe82d76971b34b370dc	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5a60f36e48506a31f46127c3e3e9f09e	0.0	0.0	0.0	70.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	438.0	595.0
63026ea7a145191b7319354781a91dd6	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32a40d521b51e35b92ddf6031ca3bcef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0
955b6220d747d0dca797409b5e9c8353	176.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f1406525350b5df3ec604c0ff0f6f15d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0
0f0059bc488c4c2f4d17a240aec96b58	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
629f81dc0fbb0337f2ab2c119d02931a	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1a3225892846b7520b87d895bc9aac4c	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c4bffeda57aea3d8f7a8caf9086752c8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0
fd7d71cbf58449b7a4d5ec2d24fce1aa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0
3670176ace4098f88d40f2e1d63df829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
4decb286f503130fda35a75cc35c7da7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	0.0	0.0
05f033b0d0e99a3cfa69dd90970de90b	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
565c22e7b682bf7f5c108ae7d3dad1c9	33.0	0.0	0.0	0.0	99.0	0.0	0.0	61.0	107.0	0.0	0.0	0.0	0.0	98.0
d172208972a52307bf62dda2928fb656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	134.0
e6a3f8cd156f14ef01e9e5b038b6080a	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
