"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",1.72700600792701,0.828314860010565,0.789285656170968,1.04944876868653,0.293971622565419,NA
"2",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"3",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"4",34.8848639365134,-5.71979530605342,1.29429679580273,-4.41923005959847,9.90531593284661e-06,0.000192010739621334
"5",1.46147679570975,0.41826392794599,0.791805993601823,0.528240416624484,0.597332480719922,NA
"6",39.786932363162,3.00401217895784,1.29318646490134,2.32295361921147,0.0201816441838743,0.0652022350555938
"7",96.6296072155666,-2.27497897610219,1.25633281342082,-1.81080916760243,0.0701703967268646,0.130021617464484
"8",1.45432659147664,-0.307393716880772,0.791245460314417,-0.388493498286388,0.6976508646046,NA
"9",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"10",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"11",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"12",1.17792726961718,-0.167946158161085,0.842469055675603,-0.199349942920341,0.841989014279664,NA
"13",496.130368682683,-1.07702592507077,1.45646439688191,-0.739479747926919,0.459615732896637,0.587934846141891
"14",427.340556297155,-1.81151818420696,1.22919012493881,-1.47374937973662,0.140549082165796,0.229989407180394
"15",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"16",324.138767288665,-0.584759322876596,1.50733054933681,-0.387943655181591,0.698057730964929,0.771298992126015
"17",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"18",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"19",8.72585123989681,-3.63752738107517,1.15576993282431,-3.14727635472079,0.00164799122607301,0.0086236693791748
"20",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"21",44.5796618085005,-1.2880973873371,1.48729736823444,-0.86606580153248,0.386454077942502,0.522371741027812
"22",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"23",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"24",1.4558410986738,-0.307862259094545,0.791349926556774,-0.389034292874807,0.697250778625478,NA
"25",1.4558410986738,-0.307862259094545,0.791349926556774,-0.389034292874807,0.697250778625478,NA
"26",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"27",1.63846786677615,-0.59903010102637,0.786124516212787,-0.762004095626277,0.446057559747816,NA
"28",1.54079478866504,-0.819595783452378,0.81072392863607,-1.01094312688073,0.312043651090661,NA
"29",1.72321973993412,-0.722919365819156,0.789131356559352,-0.916095095968707,0.359617019716555,NA
"30",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"31",2.2957974121208,1.41819534584607,0.856754840959038,1.65531057199346,0.097861515535512,NA
"32",1.53628170412023,-0.456876199762898,0.785519213778119,-0.5816232012524,0.56082051157115,NA
"33",1.18227059072173,-0.167017794018389,0.84265365925478,-0.198204555553814,0.84288502337825,NA
"34",2.96750300579985,1.91601363734171,0.943151336471403,2.03150179960521,0.0422041171714243,0.0994368069824527
"35",97.4945491409451,-7.21974860505519,1.37202018619276,-5.26213001653379,1.42396009271012e-07,1.79418971681475e-05
"36",2.70916128427823,-1.66342386070446,0.915196638928203,-1.81755897033507,0.0691315674762209,NA
"37",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"38",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"39",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"40",2.78935158334776,1.80292605908075,0.922043914568909,1.95535812404736,0.0505408151514044,NA
"41",1.64624009963801,0.707580018460183,0.786796681961962,0.899317491649503,0.368483573050637,NA
"42",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"43",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"44",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"45",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"46",1.18177809065889,-0.167127785521467,0.842633148509573,-0.19833991318414,0.842779125724566,NA
"47",1.6335886904483,-0.597204561690237,0.785640484689759,-0.760149932861551,0.447164968391411,NA
"48",36.8669774887591,-0.831347173409812,1.34459409057795,-0.61828858183697,0.536385127199588,0.653785445201655
"49",18.3742078852462,-4.77015384598499,1.27032773746829,-3.75505761646338,0.000173301607181229,0.00139323960149615
"50",2.54050073568664,1.62380414022973,0.890244742593929,1.82399744984555,0.0681524577741095,NA
"51",14.6141615396618,-4.42599183886051,1.12600375792175,-3.93070787528233,8.46961288855537e-05,0.000970155658143616
"52",1.74149650173549,0.83412236463749,0.790944269575405,1.05459056563526,0.291612620457036,NA
"53",1.27506449250499,0.0553951407942064,0.818209929128241,0.0677028459593823,0.946022183763994,NA
"54",1.45742013594036,-0.308346026691745,0.791459323805796,-0.389591754645126,0.696838450172092,NA
"55",2.34397302721753,1.4736861930419,0.863286342947373,1.70706533826372,0.0878099087477838,NA
"56",1.53628170412023,-0.456876199762898,0.785519213778119,-0.5816232012524,0.56082051157115,NA
